Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
0.0,0.0,0.012188297479454022,0.0,0.0,-0.12167064188656972,-0.16851566889676664,-0.9746626891077549,-0.0076522416280861445,-0.00798494778582902,-0.007485888549214707,0.0,0.0,-0.019650331941598844,-0.07821970237168072
0.0,0.0,0.012184734288384083,0.0,0.0,-0.12166833293965805,-0.16846640413870093,-0.9743112293060152,0.02045544689936843,0.011973920136215664,0.017960880204323498,0.0,0.0,-0.01964458726007842,-0.07819683521197658
0.0,0.0,0.012182683475709027,0.0,0.0,-0.12164785494207189,-0.16840479426644397,-0.9742802641437618,0.0209508334099249,0.017459027841604084,0.01513115746272354,0.0,0.0,-0.019641280879520936,-0.07818367390234057
0.0,0.0,0.012180354122701284,0.0,0.0,-0.1216245956332866,-0.16837259493902773,-0.9742934734396385,0.026266656793410725,0.01812066829418841,0.02410547617116807,0.0,0.0,-0.018655649156472377,-0.07426028879211798
0.0,0.0,0.012185838232647494,0.0,0.0,-0.12167935616388342,-0.16804923656094564,-0.9746323498091265,0.013471880603163693,0.01097708789887412,0.009646531789919682,0.0,0.0,-0.019646367071512922,-0.07820391989233202
0.0,0.0,0.01218243219173221,0.0,0.0,-0.12164534579399938,-0.16800226543228128,-0.9744264413493082,0.018456305881812372,0.015795937466415996,0.015297118388529173,0.0,0.0,-0.019640875752097324,-0.07818206126054951
0.0,0.0,0.012183742955860617,0.0,0.0,-0.12169169236162496,-0.16805359975493056,-0.9744647680228508,0.018790873513068625,0.014799891527992102,0.01213923687127442,0.0,0.0,-0.019642989004605624,-0.07819047322950386
0.0,0.0,0.012184849164950768,0.0,0.0,-0.12170274122048334,-0.1680688579904625,-0.9744867210379122,0.017628437509389496,0.015133847295796641,0.011308808968287601,0.0,0.0,-0.019644772467460457,-0.07819757244462706
0.0,0.0,0.012182138556167996,0.0,0.0,-0.12167566755590419,-0.1680314698442153,-0.9743364469494376,0.020949896299595417,0.0182895920075833,0.01446540458781588,0.0,0.0,-0.019640402344197953,-0.07818017682291764
0.0,0.0,0.012177903575627915,0.0,0.0,-0.12163336840769431,-0.1679730556338014,-0.9742304257787091,0.02310335912635899,0.019779134791631077,0.017285966540585142,0.0,0.0,-0.0196335745839206,-0.07815299838245429
0.0,0.0,0.012175733719063248,0.0,0.0,-0.12161169579702835,-0.16790988990614572,-0.9742230191862516,0.024761058586713888,0.024262513782954544,0.02642287459924502,0.0,0.0,-0.018648572463269193,-0.07423211945442545
0.0,0.0,0.012179809549083606,0.0,0.0,-0.12165240534373765,-0.1679993452314584,-0.9743164084717769,0.02277450059045102,0.015127587983438268,0.017122434750485076,0.0,0.0,-0.019636647450425485,-0.07816523017091234
0.0,0.0,0.012182191397282492,0.0,0.0,-0.12170944928287575,-0.16803219869572983,-0.9745401969081848,0.015296816030088208,0.014132927853885844,0.011971421240938598,0.0,0.0,-0.019640487536198046,-0.07818051593642023
0.0,0.0,0.012177606385290312,0.0,0.0,-0.12163040005919355,-0.1679689564086103,-0.9743728577576063,0.021108309384418666,0.017285544692752296,0.014293815803622089,0.0,0.0,-0.019633095444910938,-0.0781510911316841
0.0,0.0,0.012177872489724252,0.0,0.0,-0.12163305792049517,-0.167972626857683,-0.9744273918621138,0.021108770642119273,0.014294128151356358,0.013795495773983464,0.0,0.0,-0.019633524466311742,-0.07815279888534352
0.0,0.0,0.012172631077937559,0.0,0.0,-0.1215807064983585,-0.1679003306740108,-0.9741076774271326,0.023591774149722473,0.02276107787684492,0.020767406821938797,0.0,0.0,-0.019625074107955727,-0.07811916156473711
0.0,0.0006645592268427867,0.012172671531579566,0.003322796134213933,0.00398735536105672,-0.12158111055088783,-0.16790088866183006,-0.9742105985901831,0.021099755452258475,0.022595013712654745,0.01794309912475524,0.0,0.0,-0.019625139328508064,-0.07811942118031041
0.0,0.0,0.012181432619267008,0.0,0.0019951125984865327,-0.12166861663103708,-0.16802173266920753,-0.9749117712504444,0.013633269422991307,0.014963344488648998,0.00931052545960382,0.0,0.0,-0.018657301001184276,-0.07426686409080184
0.0,0.0,0.012176439365103948,0.0,0.0,-0.12161874381677172,-0.1679196211430256,-0.9746451011039073,0.014957210909414395,0.011965768727531516,0.008475752848668156,0.0,0.0,-0.019631213940616902,-0.07814360165484838
