Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
0.0,-0.0013028556563686997,-0.0012694281958486016,0.00021197901793232912,0.00019974945920546398,-0.9999982983546866,9.783646981492113e-05
0.0,-0.001112696649229294,-0.0010807365831259237,7.990016525842574e-05,8.684800571568015e-05,-0.9999987862219714,8.684800571568015e-05
0.0,-0.001240770515273161,-0.0012058410982025997,0.00017076603901163305,0.00015136080730576565,-0.999998472843148,9.314511218816348e-05
0.0,-0.0011429356700133693,-0.0011121326403608625,2.8653981072099514e-05,2.8653981072099514e-05,-0.9999987239129295,8.596194321629854e-05
0.0,-0.001069848677964739,-0.001038697792851802,-6.364159324148416e-05,-7.034070831953513e-05,-0.9999988807981235,7.703982339758608e-05
0.0,-0.0010949502818797213,-0.001064391932840118,-2.403465654800266e-05,-2.403465654800266e-05,-0.9999988303802875,7.897101437200874e-05
0.0,-0.00102363726887056,-0.0009931623266760431,4.811832978081604e-05,-9.623665956163207e-06,-0.9999989789713014,7.378143899725126e-05
0.0,-0.0010528489240066185,-0.0010234101699266346,0.00014223218263363053,0.00021830986171673524,-0.9999988849741461,7.938540426063099e-05
2.941394765696915e-05,-0.00103929281721291,-0.0010108593344778398,0.0001601426039101654,0.00015687438750383546,-0.9999989206309493,7.516897734558782e-05
0.0,-0.0010134883387971129,-0.0009850876895046246,6.063059961317741e-05,0.00013402553598702374,-0.999998987708438,7.339493637384634e-05
0.0,-0.0010621478672726973,-0.0010329974368459703,0.00011392122235732401,0.00015077808841410531,-0.9999988815529803,7.70643563005427e-05
0.0,-0.0010982659521472566,-0.0010693916809948263,0.0001148013190397829,0.00013567428613792525,-0.9999988061114821,8.0013040542879e-05
3.8019130281290784e-05,-0.0010901121537017374,-0.0010586599641053969,0.00020737707426158607,0.00021774592797466538,-0.9999987963548735,7.9494545133608e-05
0.0,-0.0010992943951803837,-0.0010681756925178347,0.00028671164250887866,0.00028321515906364845,-0.9999987408346551,8.041911924029524e-05
0.0,-0.0012517470496232026,-0.0012241173162821912,0.0003123361160288221,0.0002843059517698252,-0.9999983738987529,9.209911113670395e-05
0.0,-0.0010035590448105262,-0.0009752045194174669,0.0001624809882074185,0.00016885279166653296,-0.9999989907818498,7.327573977981619e-05
0.0,-0.001021602001360623,-0.0009915453781000922,5.171031958801002e-05,5.171031958801002e-05,-0.99999898114634,7.433358440776439e-05
4.339564497298856e-06,-0.0013517743409085935,-0.0013196615636285821,0.0002777321278271268,0.0002777321278271268,-0.9999981334724353,9.980998343787368e-05
