Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
0.0,0.01994583601821065,0.9998010620246083
0.021268188999269813,0.025255974436632904,0.9994547512979001
0.03795079932806813,0.03358645740534029,0.9987150177649878
0.0,0.02564131557099837,0.9996712074156124
0.003799090610132876,0.02108495288623746,0.9997704694940339
0.01975231504243266,0.01918253672390095,0.9996208662964678
0.0,0.01633765926201099,0.999866531538004
0.0,0.0216547090409026,0.9997655092952314
0.0,0.011969025456313039,0.9999283686492878
0.0007598861373084185,0.01671749502078521,0.999859964161626
0.0,0.01804688382022902,0.9998371417307816
0.0,0.02545150339523703,0.9996760580182573
0.0,0.019755950172546766,0.9998048321711491
0.0,0.01633765926201099,0.999866531538004
0.0,0.0075997061629922815,0.9999711218161433
0.0,-0.00018999813744665243,0.9999999819503536
0.0,0.0009499902757056324,0.9999995487591362
0.0,0.010069390946572596,0.9999493023978591
0.0,0.014438353517960422,0.999895761541017
0.03189609617768185,0.02145392183379791,0.9992609110170243
0.0,0.023932908609563028,0.9997135669207886
0.0,0.024312573249173703,0.9997044057030074
0.0,0.025831124973509995,0.999666320820404
0.0007597236219397275,0.02659032676789046,0.999646126057814
0.0,0.007029757509487943,0.9999752909494103
0.0,0.0075997061629922815,0.9999711218161433
0.0,0.010639293682796423,0.9999434011132485
0.0,0.012728844127606016,0.9999189849818709
0.0,0.017667069285889247,0.9998439251517446
0.0,0.017287247103102994,0.9998505643782956
0.011399029279406584,0.004559611711762633,0.999924633196185
0.052367473251481736,0.0015178977754052676,0.9986267289290822
0.02734942686804067,0.0022791189056700556,0.9996233362957286
0.034938291352147814,0.001139292109309168,0.9993888221362504
0.018236776321832376,0.0011397985201145235,0.9998330464876227
0.006839760730158942,-0.0018999335361552616,0.999974803645428
0.0212749200830894,-0.00227945572318815,0.9997710647228514
0.0045598681396100274,-0.004179879127975859,0.9999808679234942
0.02962580103486024,0.0077862682207004465,0.9995307328642967
0.056150462291644686,0.003035160123872686,0.998417704864781
0.00379993202188942,-0.001329976207661297,0.9999918958071191
0.0394886860645219,0.0022781934267993398,0.9992174205384969
0.05009650539229055,0.0009487974506115635,0.9987439311109119
0.06219859113709688,-0.0020859283613050787,0.9980616134104304
0.04176275832741053,-0.004176275832741053,0.9991188271357191
0.004559852337927053,-0.004939840032754308,0.9999774026082325
0.0,0.01101922311478505,0.9999392865179099
0.0,0.0075997061629922815,0.9999711218161433
0.0,0.01804688382022902,0.9998371417307816
0.010637450062005052,0.018615537608508845,0.9997701267870153
0.033413966060275635,0.02050402462789641,0.9992312504351437
0.0007597080557651983,0.027349490007547137,0.9996256440488093
0.0,0.027918839512098247,0.999610193225488
0.0,0.032851936287675736,0.9994602294649599
0.0,0.037213840652051466,0.9993073251327261
0.0,0.041952621550624916,0.9991196012215104
0.0,0.031334299300071165,0.9995089602836852
