,Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
0,03/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.43,0.31
1,04/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.43,0.31
2,05/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.43,0.31
3,06/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.43,0.31
4,07/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.44,0.31
5,08/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.56,0.38
6,09/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.38
7,10/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.58,0.48
8,11/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.48
9,12/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.48
10,13/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.48
11,14/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.48
12,15/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.57,0.48
13,16/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.56,0.48
14,17/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.56,0.48
15,18/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.56,0.48
16,19/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.55,0.48
17,20/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.55,0.48
18,21/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.54,0.48
19,22/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.53,0.48
20,23/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.52,0.48
21,24/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.51,0.48
22,25/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.5,0.48
23,26/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.49,0.48
24,27/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.47,0.48
25,28/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.46,0.48
26,29/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.45,0.48
27,30/06/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.43,1.7
28,01/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.39,1.7
29,02/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.35,1.7
30,03/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.32,1.7
31,04/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.28,1.7
32,05/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.24,2.0
33,06/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.2,2.0
34,07/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.16,2.0
35,08/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.12,2.0
36,09/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.07,2.0
37,10/07/2002,2.4712246929970267,3.3406571523398827,2.670063060073033,2.674742781281121,3.1298705609027775,14.5,249.05,1.2
