Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
0.0,0.0,-0.0049085123251704655,-0.008464313957174216,-0.009823453010729368,-0.008861953964058932,-0.009090619926447602,-0.008196159495256577,-0.008535944258645366,-0.008616757932099995,-0.008952869346695392,0.1404483064751377,0.3153097680171554,0.29461312776051296,0.32395514390229846,0.659233933356407,0.22879459252954737,0.33615568776677784,0.2975235985826347,0.0016695370265968018,0.0015064705405209975
0.0,0.0,-0.004920449308386842,-0.008465229885164224,-0.009828960236592828,-0.008861951441943454,-0.009090617339253704,-0.008196157162626458,-0.008535941829312374,-0.008616755479767401,-0.00895286679870536,0.1404482665034961,0.31530967827987516,0.2946130439135044,0.3239550517045409,0.6592337457381781,0.22879452741451906,0.33615559209674084,0.2975235139073051,0.001765043592892779,0.001506470111778907
0.0,0.0,-0.004933313013638826,-0.00846616021458234,-0.009825300806575166,-0.008862882333326194,-0.009091548554546608,-0.008196168772659442,-0.008535953920657648,-0.008617686023824785,-0.008776558538969892,0.14044846545148773,0.3153101249228192,0.29461346123922055,0.3239555105938424,0.6592346795569641,0.22879485150689027,0.33615606826837036,0.29752393535576455,0.0018137180197201567,0.0015064722457262363
0.00011020056062988102,0.001175472646718731,-0.004933311764197674,-0.008467994746401107,-0.009825298318159141,-0.00886379842666343,-0.009091546251965184,-0.008198003372857898,-0.008536870096794782,-0.008618602179261945,-0.008776556316164775,0.1404484298806468,0.3153100450654404,0.2946133866236059,0.32395542854688025,0.6592345125951404,0.22879479356090102,0.33615598313142,0.2975238600030254,0.0015143393706556149,0.0015064718641878232
0.0,0.0,-0.004933314398860559,-0.008470754284268389,-0.00982530356541495,-0.008864721498920508,-0.009091551107356577,-0.008198926089543385,-0.008537792994453949,-0.008619525120570588,-0.00877656100333402,0.14044850488792043,0.31531021345854277,0.2946135439635415,0.32395560155709824,0.6592348646630384,0.22879491575004687,0.33615616265741277,0.2975240188973156,0.0015841339050697064,0.0015064726687275922
0.0,0.0,-0.004932395309216276,-0.008470752994267534,-0.009825302069131434,-0.008864720148922865,-0.009093386399527007,-0.008200761517650593,-0.00853871003259969,-0.008621360484625282,-0.008777478005118071,0.14044848349918862,0.3153101654403343,0.29461349909720363,0.32395555222229416,0.6592347642689635,0.22879488090714775,0.33615611146460006,0.29752397358774507,0.0016419889802417986,0.0015064724393087038
0.0,0.0,-0.004932386470212702,-0.008470737814418537,-0.009825284461888977,-0.008864704263072651,-0.009093370103899864,-0.008200746821634597,-0.008538694730969597,-0.008622263371593195,-0.008952864587246997,0.1404482318112014,0.31530960039485345,0.2946129711407832,0.3239549716840152,0.6592335829000602,0.22879447089970853,0.33615550906254504,0.29752344041566514,0.0017760631974290384,0.0015064697396639185
0.0,0.0,-0.004932383239107867,-0.008471650601521144,-0.009826196361655963,-0.008863780119878817,-0.009094282483128878,-0.00820074144949418,-0.008539607473555026,-0.008622257723325966,-0.008952858722409716,0.14044813980645612,0.31530939384202544,0.29461277814589093,0.3239547594677824,0.6592331510497115,0.22879432102116076,0.3361552888539914,0.2975232455141844,0.002101153016398957,0.0015064687528066054
3.6733504786724534e-05,0.0,-0.004983818261938852,-0.008471664541438346,-0.009828967543307818,-0.00886379470503663,-0.009094297447573327,-0.008201673281255921,-0.008540539862913454,-0.008622271911063916,-0.00878573600736484,0.14044837091082196,0.3153099126767897,0.29461326292482326,0.3239552925283082,0.6592342358035539,0.22879469749725037,0.33615584199022347,0.29752373508222757,0.0018688170560246108,0.0015064712316682426
0.0,0.0,-0.004988410455034802,-0.008472583736773027,-0.009830805213760594,-0.008863795602355652,-0.009094298368227106,-0.008202592449258255,-0.008541459065220672,-0.008624109459357846,-0.008787573572206924,0.14044838512899815,0.31530994459693135,0.29461329274975645,0.3239553253236578,0.6592343025405937,0.22879472065909484,0.33615587602068575,0.29752376520180007,0.001760453395121818,0.0015064713841746282
0.0,0.0,-0.004992083339302994,-0.00847258294488768,-0.009830804294929829,-0.00886471311153271,-0.009094297518233546,-0.008202591682607495,-0.008541458266897931,-0.008624108653310232,-0.008787572750881227,0.1404483720020676,0.315309915126662,0.29461326521388825,0.32395529504535275,0.6592342409256247,0.228794699274923,0.336155844602063,0.29752373739390614,0.0017981050732809533,0.0015064712433731145
0.0,0.0,-0.004998476227391727,-0.008473441144615738,-0.009832571186236124,-0.008865568528245405,-0.009094232974436942,-0.008203451798510068,-0.008542315977805961,-0.00941312345210767,-0.008788428715072355,0.14044737521576964,0.3153076773178606,0.29461117429277767,0.3239529958788003,0.6592295622266184,0.22879307547951663,0.3361534588461079,0.29752162581667296,0.001736564127502803,0.0015064605516871073
0.0,0.0,-0.0049994507958818265,-0.008476291485302951,-0.009834518474118018,-0.0088693416213495,-0.009098008639750415,-0.008206299102130787,-0.008545167093255033,-0.008627817822797533,-0.008321091782050925,0.14044895508558058,0.31531122416293184,0.2946144883262334,0.3239566399736619,0.6592369777933548,0.22879564913582276,0.33615724018200444,0.2975249725893272,0.0015391402523692033,0.0015064774976182315
0.0,0.0,-0.005000368314837429,-0.008477208432371776,-0.009835435197779406,-0.00886934016247932,-0.009098925484556337,-0.008207216093609204,-0.008545165687706571,-0.008629653086230914,-0.008321090413359404,0.14044893198388925,0.31531117229908867,0.2946144398666847,0.3239565866877809,0.6592368693590187,0.22879561150246006,0.33615718488931245,0.29752492365104866,0.001609852278404043,0.0015064772498258705
0.0,0.0,-0.005003093153843154,-0.00847899395914718,-0.009835375858601354,-0.008869286651948822,-0.009098870588890964,-0.008207166577807685,-0.008546950804482055,-0.008630519357528996,-0.00895285520499576,0.14044808462695843,0.31530926996274883,0.29461266239793493,0.32395463219190024,0.6592328920490997,0.22879423113206918,0.336155156784745,0.29752312862275915,0.001907383348115314,0.001506468160942668
0.0,0.0,-0.005003090052323118,-0.008479907038023437,-0.009838124766985604,-0.008868362818517685,-0.009099783283492986,-0.008208079825195306,-0.008546945506051994,-0.008632350677650022,-0.00895284965493724,0.14044799756031087,0.3153090744960669,0.29461247976150445,0.323954431365781,0.6592324833771123,0.22879408929783382,0.3361549483952704,0.2975229441820709,0.002181964384052814,0.0015064672270521647
0.0,0.0,-0.005003088530604593,-0.00847990445881109,-0.009839958444461862,-0.008866523451355975,-0.009099780515741725,-0.008208077328660766,-0.008548779576247827,-0.008632348052071068,-0.008952846931876686,0.14044795484224715,0.315308978593004,0.29461239015342955,0.32395433283318326,0.6592322828677727,0.22879401970879973,0.33615484615181546,0.2975228536887616,0.002309612271378589,0.00150646676885152
0.0,0.0,-0.004996661520688282,-0.00848174339369178,-0.009839961072261523,-0.008862852478618382,-0.009099782945873955,-0.008209916190948952,-0.008549700194377487,-0.00863418702766242,-0.008909687570982854,0.14044799234942668,0.3153090627975087,0.29461246883082876,0.32395441934646385,0.6592324589183505,0.2287940808091439,0.3361549359232912,0.2975229331434116,0.0023647129968337303,0.0015064671711594044
