Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
0.0,0.0,-53.45,-92.17,-106.97,-96.5,-98.99,-89.25,-92.95,-93.83,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,18.18,16.404328859060357
0.0,0.0,-53.58,-92.18,-107.03,-96.5,-98.99,-89.25,-92.95,-93.83,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,19.22,16.404328859060357
0.0,0.0,-53.72,-92.19,-106.99,-96.51,-99.0,-89.25,-92.95,-93.84,-95.57,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,19.75,16.404328859060357
1.2,12.8,-53.72,-92.21,-106.99,-96.52,-99.0,-89.27,-92.96,-93.85,-95.57,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,16.49,16.404328859060357
0.0,0.0,-53.72,-92.24,-106.99,-96.53,-99.0,-89.28,-92.97,-93.86,-95.57,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,17.25,16.404328859060357
0.0,0.0,-53.71,-92.24,-106.99,-96.53,-99.02,-89.3,-92.98,-93.88,-95.58,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,17.88,16.404328859060357
0.0,0.0,-53.71,-92.24,-106.99,-96.53,-99.02,-89.3,-92.98,-93.89,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,19.34,16.404328859060357
0.0,0.0,-53.71,-92.25,-107.0,-96.52,-99.03,-89.3,-92.99,-93.89,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,22.88,16.404328859060357
0.4,0.0,-54.27,-92.25,-107.03,-96.52,-99.03,-89.31,-93.0,-93.89,-95.67,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,20.35,16.404328859060357
0.0,0.0,-54.32,-92.26,-107.05,-96.52,-99.03,-89.32,-93.01,-93.91,-95.69,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,19.17,16.404328859060357
0.0,0.0,-54.36,-92.26,-107.05,-96.53,-99.03,-89.32,-93.01,-93.91,-95.69,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,19.58,16.404328859060357
0.0,0.0,-54.43,-92.27,-107.07,-96.54,-99.03,-89.33,-93.02,-102.5025,-95.7,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,18.91,16.404328859060357
0.0,0.0,-54.44,-92.3,-107.09,-96.58,-99.07,-89.36,-93.05,-93.95,-90.61,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,16.76,16.404328859060357
0.0,0.0,-54.45,-92.31,-107.1,-96.58,-99.08,-89.37,-93.05,-93.97,-90.61,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,17.53,16.404328859060357
0.0,0.0,-54.48,-92.33,-107.1,-96.58,-99.08,-89.37,-93.07,-93.98,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,20.77,16.404328859060357
0.0,0.0,-54.48,-92.34,-107.13,-96.57,-99.09,-89.38,-93.07,-94.0,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,23.76,16.404328859060357
0.0,0.0,-54.48,-92.34,-107.15,-96.55,-99.09,-89.38,-93.09,-94.0,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.15,16.404328859060357
0.0,0.0,-54.41,-92.36,-107.15,-96.51,-99.09,-89.4,-93.1,-94.02,-97.02,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.75,16.404328859060357
0.0,0.0,-54.39,-92.37,-107.18,-96.51,-99.1,-89.41,-93.1,-94.03,-97.05,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.8,16.404328859060357
0.0,0.0,-54.39,-92.37,-107.19,-96.51,-99.1,-89.41,-93.1,-94.03,-97.49,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,26.18,16.404328859060357
0.0,0.0,-54.39,-92.38,-107.19,-96.52,-99.1,-89.42,-93.11,-94.04,-97.1,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.16,16.404328859060357
0.0,0.0,-54.39,-92.4,-107.21,-96.68,-99.11,-89.44,-93.13,-94.06,-97.17,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.24,16.404328859060357
0.0,0.0,-54.4,-92.4,-107.22,-96.68,-99.12,-89.44,-93.14,-94.07,-97.17,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,25.44,16.404328859060357
0.0,0.0,-54.4,-92.4,-107.22,-96.68,-99.12,-89.45,-93.14,-94.07,-97.17,1529.3762109144554,3433.4857455882347,3208.1149308823515,3527.6273735294153,7178.560713235299,2491.4006852941147,3660.4821014705894,3239.8077647058876,24.19,16.404328859060357
