Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
0.0,0.0,0.012066357617808176,0.0,0.012518125972779808,0.033934993360213765,0.00928955489047442,-0.03341135732528729,0.0,0.0,0.03379986148023249,0.030691828240670887,-0.6242654795928183,-0.5741047639202613,-0.5253145849956972
0.0,0.000777017912214554,0.01206650673471684,0.0,0.012518280672674048,0.03393541273128378,0.00928966969145679,-0.03341177022522582,0.0,0.0,0.036325587396030395,0.027195626927509386,-0.6242731943101714,-0.5741118587479099,-0.5253210768708323
0.0007771130604311773,0.0,0.012067984315321653,0.0,0.012519813574377432,0.03393956822622283,0.009290807239884267,-0.03341586159854062,0.0,0.0,0.03341586159854062,0.026421844054660023,-0.6243496384695538,-0.5741821604985433,-0.5253854040412014
0.0007767300265424505,0.001553460053084901,0.012062036085653727,0.0,0.012513642641055495,0.033922839637473876,0.009286227862432382,-0.03339939114132537,0.0,0.0,0.03825395380721568,0.03650631124749518,-0.6240419006613442,-0.5738991499084868,-0.5251264450497279
0.0,0.0007769833015385118,0.01206596925681705,0.0,0.012517723071426822,0.03393390114762794,0.009289255902092123,-0.033410281966156,0.0,0.0,0.03710095264846394,0.027777153030001795,-0.6242453873356468,-0.5740862861076365,-0.5252976775162951
0.0,0.0007769058290907514,0.01206476616767591,0.0015538116581815028,0.012516474938236818,0.033930517622681185,0.009288329677048183,-0.03340695065090231,0.0,0.0,0.036126121052719944,0.032241591907266186,-0.6241831442757713,-0.5740290443757713,-0.5252453004616023
0.013196752496935957,0.018630709407438998,0.012055040656264612,0.006986516027789625,0.012506385300514107,0.03390316594161713,0.009280842274887994,-0.033380021021661536,0.0,0.0,0.038231768263182114,0.04385979506334598,-0.6236799848934818,-0.5735663146432671,-0.5248218957231784
0.0,0.008535875655873194,0.012050523776887591,0.0,0.012501699307703654,0.033890462831322944,0.009277364854423962,-0.0333675139275043,0.0,0.0,0.045007344367331385,0.05102125676124204,-0.6234462994715946,-0.5733514062135208,-0.524625251243496
0.0,0.0,0.012056019892271194,0.0,0.012507401199435367,0.033905919910000464,0.009281596161596973,-0.0333827324947637,0.0,0.0,0.03842895949978612,0.04813324220175231,-0.6237306466801323,-0.5736129056754732,-0.5248645272257995
0.0,0.0,0.012059239225282443,0.0,0.01251074106532196,0.03391497384722174,0.009284074637013166,-0.03339164672464109,0.0,0.0,0.04076887100101528,0.03999232107718642,-0.6238972022000243,-0.5737660781967049,-0.5250046824108464
