Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Temperature_Firenze,Hydrometry_Nave_di_Rosano
0.1473675265159266,0.1473675265159266,0.14710969277428745,0.18405671936883164,0.136154501666744,0.18823188720465656,0.9148897143016298,0.10027465075745431
0.1472667093263027,0.1472667093263027,0.14700905197408826,0.1839308023393689,0.13606135554061155,0.18810311385604828,0.9142638192215374,0.10681304314285758
0.1471132672463159,0.1471132672463159,0.14685587835586195,0.18373915872205915,0.13591958869123,0.1879071229686705,0.9133112173557132,0.1160519045278253
0.14735115646423258,0.14735115646423258,0.14709335136358226,0.18403627376536708,0.13613937719337224,0.18821097781032217,0.9147880854538673,0.10136530876599908
0.14731789644691357,0.14731789644691357,0.14706014953788057,0.18399473320471157,0.13610864789234806,0.18816849493789817,0.9145816000193752,0.10354552492241634
0.14739175615208966,0.14739175615208966,0.14713388001835845,0.1840869813094987,0.13617688769788225,0.18826283561133123,0.9150401371622895,0.09863798693415796
0.14740769202872242,0.14740769202872242,0.14714978801363368,0.18410688464398925,0.13619161103207164,0.1882831904357879,0.9151390705566701,0.09754643202209894
0.1473593631715913,0.1473593631715913,0.14710154371251263,0.18404652364652457,0.13614695946184863,0.18822146020118796,0.9148390344812972,0.10082002519690862
0.1473675265159266,0.1473675265159266,0.14710969277428745,0.18405671936883164,0.136154501666744,0.18823188720465656,0.9148897143016298,0.10027465075745431
0.1475143625851892,0.1475143625851892,0.14725627193964427,0.18424011231728132,0.1362901651491259,0.18841944026387158,0.9158013046135044,0.08989590053167314
0.14763235037986203,0.14763235037986203,0.14737405330325806,0.18438747481244197,0.1363991753888051,0.18857014555005944,0.916533798551018,0.0805846577334662
0.14754326621375802,0.14754326621375802,0.14728512499851923,0.18427621190569135,0.13631686953398725,0.18845635874029035,0.9159807446374282,0.08770704791565488
0.14747724814201527,0.14747724814201527,0.14721922243177854,0.1841937577179113,0.13625587470105735,0.18837203415041942,0.9155708900634699,0.09263013199344547
0.1474544551523387,0.1474544551523387,0.14719646932064204,0.18416529009683044,0.1362348160036341,0.1883429207659222,0.9154293862172272,0.09426966962024226
0.14739175615208966,0.14739175615208966,0.14713388001835845,0.1840869813094987,0.13617688769788225,0.18826283561133123,0.9150401371622895,0.09863798693415796
